stat_type,book,settle_rule
pts,draftkings,over_under
pts,fanduel,over_under
pts,betmgm,over_under
pts,caesars,over_under
pts,pointsbet,over_under
pts,bovada,over_under
reb,draftkings,over_under
reb,fanduel,over_under
reb,betmgm,over_under
reb,caesars,over_under
reb,pointsbet,over_under
reb,bovada,over_under
ast,draftkings,over_under
ast,fanduel,over_under
ast,betmgm,over_under
ast,caesars,over_under
ast,pointsbet,over_under
ast,bovada,over_under
pts,betrivers,over_under
reb,betrivers,over_under
ast,betrivers,over_under
pts,betonlineag,over_under
reb,betonlineag,over_under
ast,betonlineag,over_under
